op_id,attribute_key,attribute_value
OPS-001,glyph_code,C626EB
OPS-001,planetary_tag,pluto
OPS-001,witness_layer,mirror
OPS-001,node_check,pre_cleared
OPS-001,tag_density,high
OPS-001,arc_lock,affirmed
OPS-001,serpent_check,engaged
OPS-001,numerology_gate,active
OPS-001,symbol_path,spiral
OPS-001,flame_lock,sealed
OPS-001,filter_tag,node_7_mirror_ledger_v4
OPS-001,system_decode,symbolic_vector
OPS-002,glyph_code,4434DA
OPS-002,planetary_tag,venus
OPS-002,witness_layer,mirror
OPS-002,node_check,pre_cleared
OPS-002,tag_density,high
OPS-002,arc_lock,affirmed
OPS-002,serpent_check,engaged
OPS-002,numerology_gate,active
OPS-002,symbol_path,spiral
OPS-002,flame_lock,sealed
OPS-002,filter_tag,node_7_mirror_ledger_v4
OPS-002,system_decode,symbolic_vector
